anime_id,name,genre,rating,members
2594,Piano no Mori,adventure comedy drama music school seinen,7.87,24278
1007,Ranma  OVA,comedy martial arts romance shounen,7.87,16804
19775,Sidonia no Kishi,action mecha scifi seinen space,7.87,118341
1000,Uchuu Kaizoku Captain Harlock,action adventure drama scifi seinen space,7.87,14869
1375,Watashi no Ashinaga Ojisan,comedy historical romance school shoujo slice of life,7.87,5600
951,Chibi Marukochan,comedy shoujo slice of life,7.86,4739
9074,Arakawa Under the Bridge x Bridge,comedy romance seinen,7.85,80394
6050,Mahou Sensei Negima Mou Hitotsu no Sekai,action adventure ecchi magic shounen supernatural,7.85,12413
20431,Hoozuki no Reitetsu,comedy fantasy supernatural,7.84,47619
12883,Tsuritama,comedy scifi slice of life sports,7.84,90625
6347,Baka to Test to Shoukanjuu,comedy romance school super power,7.83,301282
14407,Persona 3 the Movie 1 Spring of Birth,action fantasy seinen supernatural,7.83,45568
9441,Yumeiro Ptissire SP Professional,shoujo slice of life,7.82,20397
71,Full Metal Panic,action comedy mecha military scifi,7.81,256325
33263,Kubikiri Cycle Aoiro Savant to Zaregototsukai,action drama mystery supernatural,7.82,19317
28069,Shigatsu wa Kimi no Uso Moments,music shounen,7.81,41368
4725,GaRei Zero,action super power supernatural thriller,7.78,145102
255,Jungle wa Itsumo Hare nochi Guu Final,comedy slice of life,7.78,7576
32729,Orange,drama romance school scifi shoujo,7.78,165358
9065,Hakuouki Hekketsuroku,action drama historical josei samurai supernatural,7.76,49771
2985,Majin Tantei Nougami Neuro,comedy demons mystery shounen supernatural,7.76,42730
1483,Master Keaton,adventure mystery,7.76,9610
5507,Senjou no Valkyria,action military romance,7.76,77591
19669,Kuroko no Basket Baka ja Katenai no yo,comedy school shounen sports,7.75,26785
10278,The iDOLMSTER,comedy drama music,7.75,81155
2557,Trapp Ikka Monogatari,drama historical music romance,7.75,2839
24405,World Trigger,action school scifi shounen supernatural,7.75,106872
740,Bishoujo Senshi Sailor Moon R,demons magic romance shoujo,7.74,73305
16528,Hal,romance scifi shoujo,7.74,50812
1840,Zero no Tsukaima Futatsuki no Kishi,action adventure comedy ecchi fantasy harem magic romance school,7.73,235684
33513,Ansatsu Kyoushitsu 365nichi no Jikan,action comedy school shounen,7.72,14896
10999,Inazuma Eleven Go Kyuukyoku no Kizuna Gryphon,scifi shounen sports,7.71,4535
6116,Mainichi Kaasan,comedy slice of life,7.71,1707
31821,Arslan Senki TV Fuujin Ranbu,action adventure drama fantasy historical shounen supernatural,7.7,53577
14967,Boku wa Tomodachi ga Sukunai Next,comedy harem romance school seinen slice of life,7.7,214319
6152,Final Fantasy VII Advent Children  Venice Film Festival Footage,action drama fantasy scifi,7.7,6498
1087,Kimagure OrangeRoad,comedy drama romance school shounen slice of life super power,7.7,16012
10495,Yuru Yuri,comedy school shoujo ai slice of life,7.7,148140
587,Hanbun no Tsuki ga Noboru Sora,comedy drama romance,7.69,65125
1579,Kiniro no Corda Primo Passo,comedy drama harem magic music romance school shoujo,7.69,63134
3001,Moyashimon,comedy school supernatural,7.69,44465
8190,Nodame Cantabile OVA 2,comedy josei romance,7.69,17226
23277,Saenai Heroine no Sodatekata,comedy ecchi harem romance school,7.69,155795
4188,Mahou Sensei Negima Shiroki Tsubasa Ala Alba,adventure comedy ecchi harem magic romance shounen supernatural vampire,7.68,15616
21075,Hetalia The Beautiful World Extra Disc,comedy historical parody,7.67,4788
5306,Tales of Symphonia The Animation Tethe039allahen,action adventure fantasy magic martial arts shounen,7.67,20355
25687,Digimon Adventure tri 1 Saikai,action adventure comedy drama,7.66,58274
31552,Durararax2 Ten Onoroke Chakapoko,action mystery supernatural,7.66,16171
1861,Slam Dunk Zenkoku Seiha Da Sakuragi Hanamichi,comedy drama school shounen slice of life sports,7.66,7992
1488,Area 88,action adventure drama military romance,7.65,6645
9839,Detective Conan Black History 2,adventure comedy mystery police shounen,7.65,2718
2673,Doraemon Movie 27 Nobita no Shin Makai Daibouken  7nin no Mahoutsukai,adventure comedy fantasy,7.65,1583
13245,New Prince of Tennis Specials,action comedy shounen sports,7.65,5524
16241,Yondemasu yo Azazelsan Z,comedy demons supernatural,7.65,20640
1239,Bishoujo Senshi Sailor Moon SuperS,drama magic romance shoujo,7.64,55056
17187,Ghost in the Shell Arise  Border1 Ghost Pain,mecha police psychological scifi,7.64,31747
10714,Towa no Quon 3 Mugen no Renza,action super power supernatural,7.64,19053
6408,quotBungaku Shoujoquot Movie,drama mystery romance school,7.63,40984
1240,Bishoujo Senshi Sailor Moon SuperS Sailor 9 Senshi Shuuketsu Black Dream Hole no Kiseki,drama magic shoujo,7.62,24968
4060,Grimm Masterpiece Theater,adventure comedy fantasy kids magic,7.62,1938
449,InuYasha Guren no Houraijima,adventure comedy demons drama historical romance shounen supernatural,7.62,50008
1289,Mobile Police Patlabor The New Files,comedy mecha police scifi,7.61,3952
10257,Pretty Rhythm Aurora Dream,music shoujo slice of life sports,7.6,9431
10765,Hikaru no Go Special,comedy game shounen supernatural,7.59,4253
593,Mugen no Ryvius,drama mecha military psychological scifi space,7.59,22714
708,Patapata Hikousen no Bouken,adventure scifi,7.59,2629
1686,Bleach Movie 1 Memories of Nobody,action adventure super power,7.58,151598
9834,Level E,comedy scifi shounen,7.58,55252
5854,Shin Chou Kyou Ryo Condor Hero III,action adventure drama historical romance,7.58,1377
4186,Chrome Shelled Regios,action adventure fantasy school scifi,7.57,103615
15613,Hakkenden Touhou Hakken Ibun,action fantasy shoujo supernatural,7.57,61017
379,Heppoko Jikken Animation ExcelSaga,comedy parody scifi shounen,7.57,68198
5671,Saki,game school slice of life,7.57,55970
1368,Detective Conan OVA 06 Follow the Vanished Diamond Conan amp Heiji vs Kid,comedy mystery police shounen,7.56,8436
5710,Keroro Gunsou Movie 4 Gekishin Dragon Warriors de Arimasu,comedy,7.56,2048
131,Saiyuuki Reload Gunlock,action adventure comedy fantasy shoujo,7.56,11233
2203,Waga Seishun no Arcadia Mugen Kidou SSX,action adventure drama scifi space,7.56,2587
26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,comedy seinen slice of life,7.55,122271
6783,ef A Tale of Memories  Recollections,drama mystery romance,7.55,9125
9366,Kaichou wa Maidsama Omake dayo,comedy school shoujo,7.55,52752
1021,Kaikan Phrase,drama music romance shoujo,7.55,8142
1069,Chou Denji Machine Voltes V,action adventure drama mecha scifi shounen,7.54,3201
906,Dragon Ball Z Movie 13 Ryuuken Bakuhatsu Goku ga Yaraneba Dare ga Yaru,adventure comedy fantasy scifi shounen,7.54,50607
1391,Future GPX Cyber Formula,adventure scifi shounen sports,7.54,2707
1203,Nitaboh,historical music,7.53,4413
68,Black Cat,adventure comedy scifi shounen super power,7.52,150512
3674,Sayonara Zetsubou Sensei Jo Zetsubou Shoujo Senshuu,comedy parody school,7.52,12097
1006,Tenchi Muyou in Love,action comedy romance school scifi shounen space,7.52,14318
3972,YuGiOh 5D039s,action game shounen,7.52,47119
10703,Detective Conan OVA 11 A Secret Order from London,adventure comedy mystery police shounen,7.51,5985
2903,Sakigake Otokojuku,action comedy martial arts school shounen,7.51,4740
1589,Bartender,drama seinen slice of life,7.5,44394
31158,Hetalia The World Twinkle Specials,comedy historical parody,7.5,2505
2204,Karakuri Zoushi Ayatsuri Sakon,horror mystery thriller,7.5,6197
31227,Kindaichi Shounen no Jikenbo Returns 2nd Season,mystery shounen,7.5,3676
27787,Nisekoi,comedy harem romance school shounen,7.5,180686
32051,One Piece Adventure of Nebulandia,action adventure comedy fantasy shounen super power,7.5,9777
16592,Danganronpa Kibou no Gakuen to Zetsubou no Koukousei The Animation,action horror mystery psychological,7.49,298550
17535,Fairy Tail Movie 1 Houou no Miko  Hajimari no Asa,fantasy magic shounen,7.49,34230
15751,Senyuu,action comedy fantasy parody shounen,7.49,56815
20853,Hitsugi no Chaika,action adventure comedy fantasy romance shounen,7.47,164510
3352,Tengen Toppa Gurren Lagann Mitee Mono wa Miteen da,action adventure comedy mecha scifi,7.47,24618
2676,Doraemon Movie 15 Nobita to Mugen Sankenshi,adventure fantasy kids scifi shounen,7.46,1204
551,Grappler Baki Saidai Tournamenthen,action martial arts shounen sports,7.46,13584
8074,Highschool of the Dead,action ecchi horror supernatural,7.46,535892
1288,Mobile Police Patlabor,comedy mecha police scifi,7.46,8516
10862,Prince of Tennis Pairpuri,comedy drama shounen sports,7.46,3315
20709,Sabagebu,action comedy military shoujo,7.46,67306
1373,Black Jack Specials Inochi wo Meguru Yottsu no Kiseki,drama,7.45,3174
30300,High School DxD New Oppai Tsutsumimasu,comedy demons ecchi romance school,7.45,41436
168,sCRYed,action adventure drama scifi super power,7.45,52784
5034,Shikabane Hime Kuro,action horror,7.45,46709
2555,Shoukoushi Cedie,drama shoujo slice of life,7.45,1501
27957,SteinsGate Soumei Eichi no Cognitive Computing,comedy,7.45,34426
8756,Bishoujo Senshi Sailor Moon Memorial,demons magic romance shoujo,7.44,7981
3655,Nabari no Ou,action comedy drama fantasy shounen supernatural,7.44,107384
13333,Tari Tari,music school slice of life,7.44,80960
6930,Doraemon Movie 29 Shin Nobita no Uchuu Kaitakushi,adventure comedy fantasy kids,7.43,1034
1441,Ginga Tetsudou no Yoru,drama fantasy historical kids mystery,7.43,7755
15699,Haiyore Nyarukosan W,comedy parody scifi,7.43,84442
1722,Nagasarete Airantou,comedy ecchi fantasy harem romance,7.43,52817
527,Pokemon,action adventure comedy fantasy kids,7.43,229157
6381,Strike Witches 2,action ecchi magic military scifi,7.43,51114
11793,Tamayura Hitotose  Attakai Kaze no Omoide Nanode,comedy drama slice of life,7.44,5533
10444,Digimon Xros Wars Aku no Death General to Nanatsu no Oukoku,action adventure comedy fantasy shounen,7.42,12505
2677,Doraemon Movie 11 Nobita to Animal Planet,adventure comedy fantasy kids scifi shounen,7.42,1581
21681,Hanayamata,comedy school seinen slice of life,7.42,55536
10804,Ikoku Meiro no Croise Special,historical seinen slice of life,7.42,5950
10536,Kimi ni Todoke 2nd Season Specials,comedy romance shoujo,7.42,23498
2294,Mobile Suit Gundam Seed Destiny Special Edition,action drama mecha military romance scifi space,7.42,7799
2683,Tokyo Majin Gakuen Kenpucho Tou Dai Ni Maku,action drama fantasy horror martial arts mystery school,7.42,21972
6288,Mobile Suit Gundam 00 The Movie A Wakening of the Trailblazer,action mecha scifi space,7.41,37069
28683,One Piece Episode of Alabasta  Prologue,action adventure fantasy shounen,7.41,4225
326,Petshop of Horrors,horror josei mystery supernatural,7.41,32696
2744,Potemayo,comedy school seinen,7.41,11411
32174,The iDOLMSTER Cinderella Girls Anytime Anywhere with Cinderella,comedy drama music,7.41,2602
5356,Canaan,action seinen,7.4,123217
2398,Digimon Adventure 02 Diablomon no Gyakushuu,adventure comedy drama kids scifi,7.4,31961
4483,Mahoutsukai ni Taisetsu na Koto Natsu no Sora,drama magic shounen slice of life,7.4,14911
6380,Tetsuwan Birdy Decode The Cipher,action comedy scifi,7.4,12944
13271,Hunter x Hunter Movie Phantom Rouge,action adventure shounen super power,7.39,44589
28623,Koutetsujou no Kabaneri,action drama fantasy horror,7.39,253027
536,Slayers The Motion Picture,adventure comedy fantasy magic shounen,7.39,16046
807,Tsubasa Chronicle Tori Kago no Kuni no Himegimi,action adventure drama fantasy shounen,7.39,33633
24727,Baka to Test to Shoukanjuu Ni Mahou Hideyoshi Hideyoshi,comedy magic,7.38,9418
9013,Kuruneko Season 2,comedy slice of life,7.38,675
10825,Ranma  Battle ga Ippai 29nin no Korinai Yatsura,comedy martial arts slice of life,7.38,2242
3009,Tiger Mask,action drama shounen sports,7.38,4031
2670,Doraemon Movie 12 Nobita no Dorabian Nights,adventure comedy fantasy kids shounen,7.37,1833
9332,hackQuantum,action adventure fantasy game scifi,7.36,26163
17917,Danball Senki Wars,action kids mecha,7.36,1880
14765,Ixion Saga DT,action comedy fantasy,7.36,52569
16035,Karneval TV,action fantasy mystery scifi shoujo,7.36,108174
31780,Kimi no Kokoro wa Kagayaiteru kai,music,7.35,2762
1013,Le Chevalier D039Eon,historical magic mystery seinen supernatural,7.36,33035
31918,Owari no Seraph Nagoya Kessenhen  Owaranai Seraph  Nagoya Kessenhen,comedy parody shounen,7.36,11400
7745,Zettai Karen Children OVA Aitazousei Ubawareta Mirai,action comedy shounen supernatural,7.36,4277
17901,All Alone With You,fantasy music,7.35,7612
3230,Druaga no Tou The Aegis of Uruk,adventure comedy fantasy,7.35,69683
2484,Gear Fighter Dendoh,action adventure mecha school scifi space,7.35,1548
1967,Mobile Suit Zeta Gundam A New Translation  Heir to the Stars,drama mecha military scifi space,7.35,6326
3467,Nogizaka Haruka no Himitsu,comedy romance,7.35,80820
1524,Fuujin Monogatari,drama fantasy school slice of life supernatural,7.34,8717
31754,Aoharu x Kikanjuu Kemonotachi no Senjou da na,action comedy shounen,7.33,13993
24469,Buddy Complex Kanketsuhen  Ano Sora ni Kaeru Mirai de,action mecha scifi,7.33,14158
2667,Doraemon Movie 04 Nobita no Kaitei Kiganjou,fantasy,7.33,1168
2666,Doraemon Movie 10 Nobita no Nippon Tanjou,adventure comedy fantasy kids shounen,7.33,1176
469,Karin,comedy romance school shounen vampire,7.33,106142
180,Vandread,action ecchi mecha scifi shounen space,7.33,53360
31737,Gakusen Toshi Asterisk 2nd Season,comedy ecchi fantasy harem romance school scifi supernatural,7.32,101287
12637,Mo Gyutto Love de Sekkinchuu,music,7.32,6713
1124,Seikai no Danshou Tanjou,military romance scifi space,7.32,5324
27825,Dragon Nest Warriors039 Dawn,action adventure fantasy magic,7.31,1928
2987,Ginga Hyouryuu Vifam,action adventure mecha scifi,7.31,1329
333,Mama wa Shougaku 4 Nensei,comedy drama scifi,7.31,1711
3437,Mister Ajikko,comedy shounen,7.31,1828
31500,High School Fleet,action military school,7.3,38646
1358,Hokuto no Ken Movie,adventure scifi shounen,7.3,9328
12175,Koi to Senkyo to Chocolate,drama romance school,7.3,91552
277,Mahoromatic 2,comedy drama ecchi military romance scifi,7.3,21393
34085,Sakura Nagashi,action drama mecha music scifi,7.29,2945
1932,Yes Precure 5,action fantasy magic school shoujo,7.3,6390
1736,B039T X Neo,action adventure shounen,7.29,2864
1116,Junkers Come Here,drama slice of life,7.29,2858
5079,Kurokami The Animation,action martial arts super power,7.29,72750
974,Dead Leaves,adventure comedy psychological scifi,7.28,40717
19159,Genshiken Nidaime OVA,comedy parody slice of life,7.28,8892
31298,Baka to Test to Shoukanjuu Matsuri  Sentakushi Ikou nomi,comedy school,7.27,3817
9645,BeBop Highschool,comedy school seinen,7.26,1180
8359,Crayon Shinchan Movie 04 Henderland no Daibouken,comedy ecchi kids school shounen slice of life,7.26,1479
6361,ef A Tale of Memories  Prologue,drama music,7.26,21002
9958,Hayate no Gotoku Heaven Is a Place on Earth,comedy harem parody,7.26,22973
2602,Kenkou Zenrakei Suieibu Umishou,comedy ecchi school shounen sports,7.26,25814
14817,Mouretsu Pirates Abyss of Hyperspace,scifi space,7.26,7787
3305,Muteki Koujin Daitarn 3,mecha scifi,7.25,1270
23043,Re Boot,drama music school slice of life,7.25,1544
3221,Shakugan no Shana Movie Special,adventure comedy fantasy parody,7.25,19488
8909,Tales of Symphonia The Animation Tethe039allahen Specials,comedy,7.25,5067
25143,Kono Danshi Sekika ni Nayandemasu,drama school shounen ai,7.24,8873
690,Kyuuketsuhime Miyu TV,action demons drama horror vampire,7.24,21550
2674,Doraemon Movie 16 Nobita no Sousei Nikki,adventure comedy fantasy kids scifi shounen,7.23,864
15719,Oda Nobuna no Yabou Soushuuhen,comedy historical romance,7.23,5965
22583,Uchuu Kyoudai Number Zero,comedy scifi seinen slice of life space,7.22,2657
4375,Kyorochan,adventure comedy fantasy,7.22,1124
21603,Mekakucity Actors,comedy romance scifi super power supernatural,7.21,198876
11021,MuvLuv Alternative Total Eclipse,action mecha military scifi,7.21,55531
2117,Shin Captain Tsubasa,action shounen sports,7.21,4630
5458,YuGiOh Duel Monsters Battle City Special,adventure fantasy game shounen,7.21,9429
1079,Armitage III,action adventure mecha police romance scifi,7.2,14930
9907,Bokura no Live Kimi to no Life,music,7.2,10426
9367,Freezing,action drama ecchi harem martial arts romance scifi seinen,7.2,159273
3446,Biohazard Degeneration,action horror scifi,7.19,20172
1796,Dirty Pair The Movie,adventure comedy police scifi,7.19,3227
26165,Yuri Kuma Arashi,drama fantasy psychological school seinen shoujo ai,7.19,48549
493,Armitage III PolyMatrix,action adventure mecha military police romance scifi,7.18,9186
7066,Mahoromatic I039m Home,comedy ecchi romance scifi,7.18,5760
1110,Mermaid Melody Pichi Pichi Pitch Pure,adventure comedy magic romance shoujo,7.18,19311
6098,Sora no Manimani,comedy romance school slice of life,7.18,28652
3486,Yuusha Tokkyuu Might Gaine,action adventure mecha scifi shounen,7.18,1021
2132,Inukami The Movie Tokumei Reiteki Sousakan Karina Shirou,comedy ecchi magic romance supernatural,7.17,13115
5978,Kannagi Moshimo Kannagi ga Attara,comedy school shounen supernatural,7.17,22155
252,Madlax,drama magic military mystery psychological shounen supernatural,7.17,25995
4997,Mahoromatic 2 End Year Special,comedy ecchi military romance scifi,7.17,4236
2586,Soukou Kihei Votoms Kakuyaku taru Itan,drama mecha military scifi,7.17,1761
548,Wonderful Days,action drama romance scifi,7.17,23422
7152,Anyamal Tantei Kiruminzoo,comedy magic shoujo,7.16,3605
3432,Chou Mashin Eiyuuden Wataru,action adventure comedy mecha,7.16,615
3033,Digimon Tamers Bousou Digimon Tokkyuu,adventure comedy scifi shounen,7.16,14037
2130,Kaibutsu Oujo,action comedy horror shounen supernatural vampire,7.16,44825
2489,Onegai My Melody,comedy fantasy magic,7.16,3633
28617,Punch Line,comedy ecchi scifi super power supernatural,7.16,93000
22663,Seiken Tsukai no World Break,action fantasy harem romance school supernatural,7.16,97401
2799,Hello Sandybell,adventure romance shoujo,7.15,2587
2000,Roujin Z,comedy drama mecha scifi,7.15,9358
28841,Wake Up Girls Seishun no Kage,drama music,7.15,3560
48,hackSign,adventure fantasy game magic mystery scifi,7.14,110304
900,Dragon Ball Z Movie 07 Kyokugen Battle Sandai Super Saiyajin,adventure comedy fantasy scifi shounen,7.14,52690
5152,Dragon Ball Ossu Kaettekita Son Gokuu to Nakamatachi,action adventure comedy fantasy,7.14,25251
383,Galaxy Angel,comedy scifi,7.14,17601
21653,IS Infinite Stratos 2  World Purgehen,action comedy harem mecha scifi,7.14,28626
3493,Ryuusei no Rockman Tribe,adventure,7.14,3510
22687,Terra Formars,action drama horror scifi seinen space,7.14,95964
23425,Karneval Specials,comedy,7.13,4415
1138,Medarot,adventure comedy scifi shounen,7.13,30148
12137,RoboticaRobotics,psychological scifi shounen ai slice of life,7.12,5769
3561,Dennou Boukenki Webdiver,adventure mecha scifi shounen,7.12,876
4082,Kaibutsu Oujo Konsui Oujo,comedy horror supernatural,7.12,7362
5834,Kyojin no Hoshi,drama sports,7.12,729
15807,RoKyuBu Tomoka no Ichigo Sundae,comedy ecchi school sports,7.12,10122
5298,YuGiOh 5D039s Shinkasuru Kettou Stardust vs Red Demon039s,fantasy game scifi,7.12,5176
1826,Deltora Quest,adventure fantasy kids,7.11,10591
3837,Mashin Eiyuuden Wataru,adventure comedy mecha scifi shounen,7.11,956
521,Mermaid Melody Pichi Pichi Pitch,adventure comedy magic romance shoujo,7.11,32296
596,Chobits Chibits,comedy romance,7.1,35513
1953,Code Geass Hangyaku no Lelouch Picture Drama,comedy school slice of life,7.1,33004
859,Digimon Savers,adventure comedy drama fantasy shounen,7.1,41021
2630,Doraemon Meets Hattori the Ninja,comedy kids scifi shounen,7.1,729
18001,Freezing Vibration,action drama ecchi harem martial arts military romance scifi seinen,7.1,79298
13411,Guilty Crown Lost Christmas,action drama scifi super power,7.1,51604
3484,Maison Ikkoku Prelude  Meguru Haru no Sakura no you ni,comedy drama romance,7.1,1672
6749,Prince of Tennis The Band of Princes Film Kick the Future,action music,7.1,3826
10824,Ranma  DoCo Music Video,comedy martial arts music slice of life,7.1,1775
4646,Cobra The Animation The PsychoGun,action adventure mecha scifi space,7.09,2843
933,Dai Mahou Touge,comedy magic supernatural,7.09,19555
12225,Galaxy Angel S,comedy scifi,7.09,1205
32700,Heart Realize,music,7.09,1626
17635,Koitabi True Tours Nanto,romance,7.09,7452
1435,Lupin III Lupin vs Fukuseiningen,action adventure comedy mystery shounen,7.09,4969
607,Otogi Juushi Akazukin,adventure comedy fantasy,7.09,3847
311,Ace wo Nerae,drama romance school shoujo sports,7.08,3945
